Pos	Red	Green	Blue	
1109	105	88	246	
1110	104	88	246	
1111	106	91	246	
1112	107	91	244	
1113	107	89	244	
1114	107	89	246	
1115	106	90	246	
1116	105	90	245	
1117	104	89	243	
1118	105	90	243	
1119	104	90	244	
1120	104	88	246	
1121	104	87	246	
1122	104	88	243	
1123	105	90	242	
1124	104	89	243	
1125	103	89	241	
1126	103	89	239	
1127	103	89	237	
1128	104	90	238	
1129	102	88	233	
1130	100	85	228	
1131	101	85	219	
1132	99	83	214	
1133	98	82	213	
1134	95	80	217	
1135	92	79	211	
1136	92	80	203	
1137	92	79	192	
1138	91	78	191	
1139	91	75	188	
1140	88	72	190	
1141	89	73	188	
1142	87	72	183	
1143	85	70	178	
1144	83	68	177	
1145	80	66	175	
1146	78	66	176	
1147	77	65	174	
1148	75	64	171	
1149	78	65	169	
1150	80	66	169	
1151	81	66	171	
1152	82	66	174	
1153	83	67	177	
1154	85	68	178	
1155	85	68	182	
1156	87	72	186	
1157	88	74	192	
1158	87	75	196	
1159	89	76	202	
1160	90	76	206	
1161	90	77	209	
1162	93	80	207	
1163	94	81	209	
1164	94	79	211	
1165	95	81	215	
1166	96	81	217	
1167	97	82	215	
1168	98	82	212	
1169	95	81	212	
1170	95	82	219	
1171	98	84	221	
1172	97	83	219	
1173	95	82	217	
1174	95	83	215	
1175	95	81	216	
1176	96	81	218	
1177	94	81	218	
1178	96	84	215	
1179	97	84	213	
1180	97	82	216	
1181	98	84	218	
1182	98	85	218	
1183	97	85	219	
1184	97	85	219	
1185	98	84	218	
1186	98	84	219	
1187	96	83	219	
1188	96	82	218	
1189	97	83	221	
1190	98	83	223	
1191	98	82	226	
1192	98	82	227	
1193	100	83	228	
1194	102	85	230	
1195	101	84	229	
1196	99	82	228	
1197	99	84	226	
1198	100	86	225	
1199	101	87	225	
1200	102	86	227	
1201	101	85	227	
1202	101	86	227	
1203	101	86	225	
1204	100	85	224	
1205	99	84	222	
1206	99	84	222	
1207	100	83	224	
1208	97	80	228	
1209	98	82	227	
1210	97	82	219	
1211	97	81	214	
1212	98	83	216	
1213	95	81	217	
1214	93	80	218	
1215	95	80	214	
1216	95	81	209	
1217	93	78	204	
1218	91	76	205	
1219	91	74	203	
1220	90	74	203	
1221	92	78	202	
1222	92	80	201	
1223	92	79	204	
1224	93	79	210	
1225	94	79	213	
1226	96	81	212	
1227	96	80	212	
1228	94	80	213	
1229	92	79	215	
1230	92	79	215	
1231	94	79	213	
1232	97	81	212	
1233	98	82	212	
1234	96	81	213	
1235	95	82	215	
1236	95	81	215	
1237	97	80	216	
1238	97	80	215	
1239	95	81	215	
1240	94	81	216	
1241	95	80	216	
1242	98	82	216	
1243	100	87	219	
1244	100	87	223	
1245	96	82	221	
1246	96	81	217	
1247	98	82	214	
1248	98	83	214	
1249	96	82	215	
1250	95	82	214	
1251	95	81	212	
1252	96	81	209	
1253	96	81	208	
1254	95	82	211	
1255	95	81	212	
1256	97	82	212	
1257	100	83	213	
1258	99	82	215	
1259	98	82	215	
1260	97	81	212	
1261	97	81	213	
1262	97	81	216	
1263	95	81	218	
1264	97	83	219	
1265	97	83	220	
1266	99	83	220	
1267	102	85	222	
1268	101	84	224	
1269	101	86	227	
1270	100	87	229	
1271	99	86	232	
1272	100	86	234	
1273	99	84	235	
1274	100	85	236	
1275	101	85	236	
1276	101	85	234	
1277	102	87	234	
1278	102	88	236	
1279	100	87	236	
