Pos	Red	Green	Blue	
0	43	16	9	
1	46	21	16	
2	48	26	31	
3	44	24	25	
4	43	20	3	
5	43	18	0	
6	46	19	0	
7	47	22	5	
8	47	21	12	
9	46	20	8	
10	45	23	0	
11	45	23	0	
12	38	14	4	
13	36	9	1	
14	42	14	0	
15	45	18	0	
16	46	19	0	
17	41	13	0	
18	42	14	0	
19	44	16	0	
20	38	11	0	
21	36	13	0	
22	37	15	0	
23	41	17	0	
24	44	17	0	
25	45	18	0	
26	43	17	0	
27	34	13	0	
28	31	13	0	
29	31	13	0	
30	32	14	0	
31	34	13	3	
32	36	14	10	
33	33	10	2	
34	34	12	0	
35	34	15	0	
36	32	13	0	
37	34	12	0	
38	35	11	0	
39	36	8	0	
40	40	13	0	
41	43	17	0	
42	36	11	0	
43	30	7	0	
44	33	13	0	
45	38	16	0	
46	39	14	0	
47	41	18	0	
48	44	19	0	
49	46	18	0	
50	55	26	0	
51	60	30	1	
52	52	22	0	
53	47	19	0	
54	43	20	0	
55	37	15	0	
56	34	12	0	
57	38	14	0	
58	41	14	0	
59	44	13	0	
60	44	14	0	
61	44	18	0	
62	42	16	0	
63	42	16	0	
64	43	16	0	
65	40	15	0	
66	43	16	0	
67	46	19	0	
68	46	19	0	
69	42	12	0	
70	39	11	0	
71	40	14	0	
72	39	14	0	
73	36	14	0	
74	44	27	4	
75	44	28	8	
76	37	15	6	
77	38	14	8	
78	42	15	5	
79	43	13	0	
80	43	9	0	
81	43	9	0	
82	42	15	0	
83	42	21	0	
84	38	17	0	
85	33	8	0	
86	33	5	0	
87	38	9	0	
88	37	10	0	
89	35	15	0	
90	42	21	0	
91	44	16	0	
92	44	12	0	
93	45	15	0	
94	43	17	0	
95	42	17	0	
96	41	15	0	
97	41	13	0	
98	45	20	0	
99	43	18	0	
100	39	13	0	
101	39	13	0	
102	39	12	0	
103	34	11	0	
104	36	10	0	
105	45	14	0	
106	47	13	0	
107	46	15	0	
108	53	22	6	
109	58	24	3	
110	59	24	0	
111	53	20	0	
112	49	20	0	
113	47	17	0	
114	45	14	0	
115	48	16	0	
116	48	16	0	
117	45	16	0	
118	44	15	0	
119	46	19	0	
120	45	19	0	
121	42	13	0	
122	42	14	0	
123	50	23	0	
124	54	24	0	
125	55	25	0	
126	53	23	0	
127	47	16	0	
128	42	14	0	
129	43	15	0	
130	40	15	0	
131	34	9	0	
132	33	5	0	
133	36	6	0	
134	41	15	0	
135	38	13	0	
136	31	7	0	
137	35	13	0	
138	40	15	0	
139	41	14	0	
140	45	16	0	
141	50	26	0	
142	50	26	0	
143	48	22	0	
144	51	22	0	
145	51	22	0	
146	48	20	0	
147	48	20	0	
148	53	26	0	
149	56	22	0	
150	60	24	0	
151	62	27	8	
152	60	27	12	
153	59	27	9	
154	60	28	3	
155	59	27	0	
156	55	24	0	
157	53	24	0	
158	53	25	0	
159	55	24	0	
160	57	24	0	
161	59	25	0	
162	61	24	0	
163	65	24	0	
164	71	28	0	
165	69	26	0	
166	74	33	2	
167	76	35	5	
168	70	26	0	
169	70	30	3	
170	69	33	5	
171	66	28	3	
172	59	26	5	
173	50	21	0	
174	43	18	0	
175	47	20	0	
176	46	17	0	
177	41	11	0	
178	42	15	0	
179	44	22	0	
180	40	20	0	
181	36	13	0	
182	35	13	0	
183	35	14	0	
184	37	16	0	
185	41	16	0	
186	40	13	0	
187	41	14	0	
188	35	14	0	
189	32	19	0	
190	29	17	0	
191	26	7	0	
192	34	7	0	
193	40	11	0	
194	36	8	0	
195	31	7	0	
196	24	4	0	
197	19	0	0	
198	24	6	0	
199	26	3	0	
200	27	2	0	
201	32	8	0	
202	34	9	0	
203	36	11	0	
204	44	18	0	
205	43	18	0	
206	45	16	0	
207	53	23	0	
208	58	24	0	
209	58	20	0	
210	57	20	0	
211	58	26	3	
212	54	25	5	
213	47	19	0	
214	49	21	0	
215	49	18	0	
216	45	13	0	
217	49	19	5	
218	50	22	6	
219	43	15	3	
220	42	14	5	
221	47	22	8	
222	53	27	2	
223	56	26	0	
224	59	25	3	
225	59	23	1	
226	58	23	0	
227	56	24	6	
228	47	18	13	
229	43	17	9	
230	38	15	0	
231	34	8	0	
232	32	5	0	
233	33	7	0	
234	33	8	0	
235	30	8	0	
236	29	10	0	
237	31	13	0	
238	33	11	0	
239	37	13	0	
240	38	12	0	
241	34	8	0	
242	44	13	0	
243	54	13	0	
244	55	12	0	
245	50	16	1	
246	44	18	1	
247	44	18	0	
248	41	12	0	
249	40	9	0	
250	37	9	0	
251	33	8	0	
252	33	12	0	
253	34	16	0	
254	38	20	0	
255	41	15	0	
256	40	10	0	
257	39	12	0	
258	41	15	0	
259	43	20	0	
260	45	19	0	
261	42	15	0	
262	45	18	0	
263	46	20	0	
264	46	20	1	
265	45	18	2	
266	47	17	0	
267	52	23	4	
268	57	24	6	
269	56	21	4	
270	61	23	4	
271	68	31	4	
272	70	31	0	
273	68	27	0	
274	72	27	0	
275	77	31	6	
276	100	43	22	
277	121	52	33	
278	138	54	33	
279	140	54	30	
280	148	58	25	
281	147	63	31	
282	147	62	39	
283	149	65	42	
284	152	63	35	
285	148	60	27	
286	146	59	25	
287	147	60	27	
288	152	63	28	
289	159	67	35	
290	180	74	38	
291	191	84	50	
292	212	90	61	
293	222	96	65	
294	236	102	65	
295	239	103	65	
296	243	104	65	
297	244	105	65	
298	244	105	63	
299	243	103	64	
300	241	100	66	
301	241	98	64	
302	243	96	57	
303	244	98	59	
304	244	101	69	
305	243	103	73	
306	246	105	73	
307	247	103	71	
308	250	101	72	
309	253	103	73	
310	253	106	71	
311	251	105	68	
312	249	104	67	
313	250	102	66	
314	247	102	66	
315	246	104	68	
316	243	104	66	
317	242	102	63	
318	242	101	61	
319	241	101	64	
320	243	100	68	
321	247	101	71	
322	251	102	68	
323	251	104	65	
324	254	106	64	
325	255	107	64	
326	255	108	67	
327	255	109	68	
328	254	109	65	
329	252	108	65	
330	251	106	67	
331	252	104	67	
332	253	106	68	
333	253	108	69	
334	254	107	68	
335	255	108	69	
336	255	109	71	
337	255	110	72	
338	255	107	70	
339	255	108	70	
340	255	106	68	
341	255	105	66	
342	255	109	67	
343	255	113	69	
344	255	113	68	
345	255	109	66	
346	255	111	69	
347	255	110	71	
348	254	107	72	
349	255	104	72	
350	255	103	68	
351	255	107	69	
352	255	108	72	
353	255	106	73	
354	254	107	77	
355	253	109	73	
356	254	110	67	
357	254	110	66	
358	254	107	67	
359	255	105	70	
360	255	108	74	
361	254	109	74	
362	255	109	71	
363	255	110	71	
364	255	109	73	
365	255	108	76	
366	255	109	80	
367	255	111	81	
368	255	109	74	
369	255	109	71	
370	255	110	74	
371	255	108	73	
372	255	107	72	
373	255	107	71	
374	255	111	74	
375	255	113	76	
376	255	111	74	
377	255	108	76	
378	255	108	78	
379	255	108	79	
380	255	110	78	
381	255	112	79	
382	255	111	80	
383	255	110	82	
384	255	112	84	
385	255	112	81	
386	255	112	76	
387	255	111	75	
388	255	111	80	
389	255	112	78	
390	255	111	72	
391	255	113	70	
392	255	114	74	
393	255	111	76	
394	255	112	79	
395	255	112	82	
396	255	110	86	
397	255	110	84	
398	255	110	77	
399	255	113	75	
400	255	112	75	
401	255	113	76	
402	255	114	75	
403	255	113	73	
404	255	115	75	
405	255	114	75	
406	255	113	77	
407	255	114	81	
408	255	113	82	
409	255	113	80	
410	255	115	77	
411	255	116	75	
412	255	113	75	
413	255	113	78	
414	255	113	81	
415	255	112	78	
416	255	113	76	
417	255	113	72	
418	255	114	68	
419	255	115	69	
420	255	115	71	
421	255	116	75	
422	255	116	78	
423	255	113	79	
424	255	113	77	
425	255	114	79	
426	255	114	81	
427	255	114	85	
428	255	115	91	
429	255	114	89	
430	255	113	82	
431	255	112	79	
432	255	112	79	
433	255	115	81	
434	255	115	80	
435	255	113	81	
436	255	113	84	
437	255	113	82	
438	255	113	75	
439	255	113	75	
440	255	114	81	
441	255	116	81	
442	255	118	75	
443	255	118	72	
444	255	118	73	
445	255	117	79	
446	255	114	82	
447	255	111	81	
448	255	112	78	
449	255	110	76	
450	254	108	79	
451	255	111	83	
452	255	113	83	
453	255	112	79	
454	255	113	76	
455	255	118	77	
456	255	118	76	
457	255	117	77	
458	255	115	78	
459	255	116	80	
460	255	116	82	
461	255	116	82	
462	255	116	81	
463	255	117	82	
464	255	117	83	
465	255	116	82	
466	255	117	82	
467	255	116	80	
468	255	116	79	
469	255	119	83	
470	255	117	83	
471	255	114	80	
472	255	113	79	
473	255	113	75	
474	255	114	73	
475	255	114	73	
476	255	114	73	
477	255	113	78	
478	255	114	88	
479	255	116	92	
480	255	115	84	
481	255	116	83	
482	255	115	85	
483	255	112	85	
484	255	111	84	
485	255	110	82	
486	255	111	80	
487	249	105	73	
488	227	102	75	
489	216	93	69	
490	189	82	59	
491	174	73	51	
492	149	64	48	
493	136	56	36	
494	117	47	28	
495	108	46	29	
496	90	39	32	
497	84	39	33	
498	80	38	26	
499	78	36	18	
500	78	37	21	
501	75	35	21	
502	75	33	23	
503	78	36	38	
504	79	35	52	
505	77	37	61	
506	75	37	57	
507	79	44	62	
508	82	47	62	
509	79	43	68	
510	82	45	79	
511	86	48	84	
512	93	52	80	
513	99	58	83	
514	104	65	86	
515	104	64	87	
516	104	60	85	
517	106	59	86	
518	108	59	91	
519	106	61	94	
520	111	63	96	
521	110	62	100	
522	109	61	102	
523	108	62	101	
524	102	61	96	
525	98	58	89	
526	95	54	85	
527	97	54	89	
528	99	54	98	
529	104	59	105	
530	110	62	102	
531	113	60	97	
532	116	63	96	
533	117	65	94	
534	108	60	90	
535	99	56	88	
536	90	53	90	
537	82	47	89	
538	82	50	99	
539	84	49	99	
540	83	47	95	
541	84	48	90	
542	85	45	80	
543	89	49	80	
544	100	55	85	
545	106	62	92	
546	121	66	92	
547	132	74	98	
548	142	77	102	
549	144	79	103	
550	141	79	103	
551	133	71	100	
552	120	64	100	
553	110	57	104	
554	103	58	113	
555	102	56	112	
556	102	58	103	
557	103	58	99	
558	102	58	101	
559	98	55	100	
560	96	50	99	
561	95	53	101	
562	100	55	100	
563	105	60	108	
564	107	60	116	
565	110	61	116	
566	111	62	109	
567	110	60	103	
568	110	61	103	
569	111	63	103	
570	120	67	103	
571	130	69	103	
572	141	76	104	
573	146	80	112	
574	144	81	120	
575	136	76	124	
576	125	70	120	
577	118	70	119	
578	112	67	116	
579	111	64	115	
580	106	62	120	
581	101	59	120	
582	99	59	115	
583	101	60	115	
584	102	59	117	
585	105	60	121	
586	114	65	125	
587	121	69	127	
588	127	73	128	
589	128	77	130	
590	126	76	127	
591	122	73	124	
592	115	69	124	
593	112	66	118	
594	110	68	116	
595	107	66	115	
596	101	59	117	
597	97	57	122	
598	95	57	124	
599	95	57	123	
600	96	56	118	
601	97	60	117	
602	102	64	121	
603	107	68	124	
604	119	73	120	
605	126	78	119	
606	134	78	118	
607	138	80	111	
608	140	79	105	
609	140	77	97	
610	142	76	91	
611	143	78	93	
612	145	80	97	
613	146	80	101	
614	146	82	103	
615	146	80	104	
616	140	78	102	
617	136	74	102	
618	131	72	103	
619	129	72	105	
620	132	72	108	
621	137	75	108	
622	143	76	104	
623	143	76	101	
624	143	78	97	
625	141	76	95	
626	143	77	96	
627	150	81	99	
628	157	83	99	
629	164	84	100	
630	171	88	101	
631	174	88	101	
632	174	90	102	
633	172	90	102	
634	163	88	100	
635	152	84	102	
636	136	76	108	
637	124	71	113	
638	112	65	114	
639	109	63	117	
640	105	63	122	
641	103	63	122	
642	102	64	118	
643	102	61	113	
644	103	63	116	
645	106	68	120	
646	109	69	123	
647	114	69	124	
648	118	70	121	
649	119	73	122	
650	119	74	127	
651	115	68	128	
652	111	66	128	
653	110	70	126	
654	108	68	120	
655	107	64	118	
656	105	65	125	
657	103	65	127	
658	101	63	123	
659	101	62	121	
660	103	62	122	
661	105	66	126	
662	110	66	128	
663	113	66	128	
664	116	67	126	
665	117	71	126	
666	117	71	126	
667	116	67	123	
668	111	64	127	
669	106	61	130	
670	99	62	132	
671	99	62	129	
672	100	62	124	
673	102	60	110	
674	102	58	100	
675	100	56	91	
676	94	52	91	
677	93	51	85	
678	92	50	78	
679	92	50	71	
680	91	47	67	
681	90	44	65	
682	88	43	69	
683	87	43	70	
684	84	44	70	
685	85	44	68	
686	86	45	67	
687	86	43	62	
688	87	40	58	
689	88	42	58	
690	95	46	62	
691	101	49	68	
692	105	53	73	
