Pos	Red	Green	Blue	
0	63	45	99	
1	61	44	103	
2	62	42	105	
3	65	42	113	
4	69	45	120	
5	70	48	127	
6	76	51	128	
7	81	49	127	
8	91	51	122	
9	98	55	122	
10	106	59	120	
11	107	59	126	
12	113	61	135	
13	115	63	141	
14	120	64	140	
15	122	66	145	
16	123	66	147	
17	123	68	155	
18	126	69	158	
19	128	70	160	
20	131	72	163	
21	131	71	165	
22	130	69	167	
23	130	69	169	
24	130	72	168	
25	129	72	168	
26	128	70	165	
27	131	70	164	
28	134	70	162	
29	135	70	159	
30	136	72	159	
31	135	73	164	
32	134	72	169	
33	136	76	173	
34	138	78	171	
35	134	75	169	
36	133	74	169	
37	134	74	170	
38	133	74	171	
39	133	74	171	
40	133	74	172	
41	134	73	171	
42	133	72	170	
43	132	72	168	
44	131	71	166	
45	130	70	165	
46	131	72	167	
47	132	75	169	
48	133	74	168	
49	133	72	167	
50	134	71	165	
51	136	73	166	
52	136	72	168	
53	135	72	168	
54	137	74	167	
55	139	72	164	
56	139	72	162	
57	138	70	163	
58	137	72	167	
59	135	72	167	
60	134	71	165	
61	133	70	161	
62	132	68	158	
63	130	68	157	
64	129	68	157	
65	130	68	156	
66	128	66	154	
67	127	64	150	
68	125	65	150	
69	125	66	147	
70	121	65	144	
71	118	64	141	
72	115	63	139	
73	114	63	138	
74	110	62	137	
75	107	61	137	
76	106	61	138	
77	106	60	135	
78	105	59	132	
79	105	58	128	
80	102	57	127	
81	100	56	126	
82	99	56	128	
83	101	56	126	
84	100	54	122	
85	101	54	117	
86	98	54	115	
87	96	53	113	
88	93	51	114	
89	89	49	111	
90	84	49	112	
91	79	48	111	
92	72	46	111	
93	71	44	110	
94	69	44	108	
95	69	45	105	
96	67	43	102	
97	66	44	104	
98	64	44	112	
99	63	43	110	
100	63	43	104	
101	63	42	98	
102	66	43	98	
103	66	41	97	
104	67	40	99	
105	68	43	104	
106	69	44	105	
107	70	44	106	
108	71	45	106	
109	70	45	109	
110	72	46	112	
111	74	47	114	
112	76	46	112	
113	77	46	110	
114	79	48	109	
115	80	50	110	
116	81	51	115	
117	80	50	118	
118	81	50	118	
119	80	48	116	
120	79	48	113	
121	79	50	109	
122	80	51	106	
123	81	50	105	
124	83	51	105	
125	84	52	108	
126	80	50	112	
127	76	49	115	
128	75	50	116	
129	75	50	119	
130	76	49	122	
131	78	49	121	
132	79	49	113	
133	78	48	109	
134	77	47	112	
135	77	47	111	
136	78	46	108	
137	79	46	105	
138	79	49	104	
139	78	49	104	
140	77	48	104	
141	79	46	106	
142	79	46	110	
143	79	47	110	
144	78	46	104	
145	78	47	101	
146	79	50	102	
147	78	48	100	
148	75	46	99	
149	74	48	102	
150	72	47	103	
151	70	44	108	
152	68	45	114	
153	68	47	116	
154	69	46	113	
155	72	48	108	
156	73	48	101	
157	69	48	96	
158	71	51	99	
159	72	50	103	
160	69	45	106	
161	69	46	113	
162	70	47	113	
163	72	48	112	
164	78	52	111	
165	80	51	110	
166	82	48	109	
167	83	47	109	
168	85	48	110	
169	84	49	111	
170	82	50	114	
171	80	50	114	
172	76	49	111	
173	74	47	114	
174	70	47	121	
175	70	48	122	
176	70	49	116	
177	72	49	111	
178	72	49	113	
179	70	47	113	
180	66	45	114	
181	65	48	118	
182	64	49	119	
183	63	48	118	
184	64	45	114	
185	66	46	113	
186	69	47	115	
187	68	46	117	
188	68	46	123	
189	67	46	123	
190	68	47	118	
191	68	47	114	
192	69	49	111	
193	67	50	110	
194	68	50	113	
195	68	49	115	
196	68	48	117	
197	67	48	117	
198	67	49	116	
199	71	52	117	
200	72	52	116	
201	70	49	115	
202	72	49	117	
203	73	51	118	
204	73	50	120	
205	71	49	120	
206	71	50	122	
207	70	49	119	
208	70	51	116	
209	73	53	115	
210	72	50	113	
211	75	52	116	
212	77	54	118	
213	77	50	116	
214	76	49	117	
215	74	49	115	
216	74	52	111	
217	73	51	113	
218	73	49	121	
219	75	50	124	
220	78	52	122	
221	76	51	120	
222	76	51	119	
223	78	53	119	
224	78	52	120	
225	77	50	118	
226	77	51	116	
227	79	55	120	
228	78	55	123	
229	77	53	122	
230	78	55	119	
231	79	55	119	
232	78	53	120	
233	76	51	122	
234	75	49	123	
235	75	49	121	
236	76	52	118	
237	75	52	118	
238	75	50	119	
239	78	50	119	
240	81	53	118	
241	80	54	121	
242	79	53	124	
243	80	54	128	
244	82	54	129	
245	81	51	127	
246	80	53	124	
247	76	53	125	
248	75	52	125	
249	79	54	128	
250	85	56	128	
251	86	55	128	
252	86	53	129	
253	86	53	129	
254	86	54	130	
255	84	54	130	
256	82	55	134	
257	78	52	134	
258	77	50	131	
259	80	54	131	
260	79	54	131	
261	77	53	131	
262	75	54	130	
263	75	54	131	
264	76	55	132	
265	74	53	132	
266	74	51	132	
267	74	50	130	
268	75	51	129	
269	73	52	127	
270	73	51	127	
271	75	52	129	
272	77	51	130	
273	80	51	129	
274	80	51	126	
275	77	51	125	
276	75	51	129	
277	74	50	130	
278	77	51	130	
279	79	53	130	
280	81	53	128	
281	82	53	125	
282	82	55	123	
283	81	54	123	
284	80	53	125	
285	79	52	127	
286	80	53	128	
287	80	53	130	
288	78	52	130	
289	76	50	129	
290	76	49	127	
291	78	50	126	
292	79	52	127	
293	77	51	126	
294	77	51	125	
295	80	53	125	
296	81	53	124	
297	82	53	123	
298	80	51	123	
299	81	52	121	
300	84	55	121	
301	85	55	121	
302	87	55	123	
303	90	57	124	
304	95	58	123	
305	98	56	124	
306	102	56	125	
307	104	58	128	
308	109	61	128	
309	111	63	131	
310	111	63	134	
311	111	64	136	
312	110	65	137	
313	106	63	140	
314	105	62	144	
315	105	62	145	
316	108	63	143	
317	109	63	143	
318	115	68	146	
319	116	68	149	
320	112	64	150	
321	109	64	148	
322	108	65	146	
323	111	66	146	
324	113	67	149	
325	112	68	152	
326	115	67	150	
327	116	67	150	
328	119	67	152	
329	119	67	156	
330	118	67	160	
331	115	69	164	
332	113	69	166	
333	114	68	167	
334	115	68	164	
335	117	69	167	
336	122	71	169	
337	125	73	170	
338	130	74	171	
339	132	75	171	
340	135	75	170	
341	136	74	172	
342	138	76	176	
343	138	76	179	
344	139	76	179	
345	142	78	179	
346	142	78	178	
347	141	77	177	
348	141	79	179	
349	141	78	180	
350	140	76	179	
351	141	77	180	
352	142	80	180	
353	143	82	182	
354	144	82	183	
355	141	80	183	
356	140	78	185	
357	140	79	184	
358	141	79	182	
359	139	76	180	
360	136	74	181	
361	136	75	182	
362	133	75	182	
363	130	75	182	
364	128	75	184	
365	129	77	185	
366	130	77	185	
367	131	76	183	
368	136	77	178	
369	137	76	176	
370	140	79	179	
371	139	80	181	
372	137	76	179	
373	138	76	182	
374	138	75	183	
375	141	77	186	
376	143	78	186	
377	144	78	185	
378	145	78	184	
379	144	78	185	
380	145	80	186	
381	143	78	190	
382	142	76	194	
383	144	79	193	
384	145	79	187	
385	144	78	185	
386	141	75	187	
387	141	77	188	
388	140	78	187	
389	139	76	184	
390	138	78	185	
391	137	77	183	
392	134	77	183	
393	133	78	182	
394	131	80	183	
395	131	80	183	
396	129	77	184	
397	128	74	182	
398	128	74	182	
399	130	78	180	
400	132	78	177	
401	132	77	177	
402	135	78	177	
403	135	77	179	
404	136	76	179	
405	138	78	181	
406	140	80	184	
407	139	78	183	
408	143	80	182	
409	144	80	181	
410	144	79	179	
411	145	81	182	
412	143	79	185	
413	143	77	187	
414	143	78	187	
415	143	77	188	
416	142	77	188	
417	141	78	186	
418	140	80	185	
419	140	81	182	
420	139	79	181	
421	142	79	181	
422	140	80	182	
423	137	79	182	
424	134	77	180	
425	134	76	178	
426	134	77	178	
427	132	75	178	
428	129	74	179	
429	128	76	180	
430	127	74	179	
431	128	73	177	
432	132	75	176	
433	134	75	178	
434	137	75	180	
435	138	76	179	
436	143	77	176	
437	145	77	174	
438	148	77	175	
439	148	76	178	
440	147	77	182	
441	147	79	185	
442	147	81	185	
443	147	81	189	
444	147	80	192	
445	146	79	190	
446	148	80	183	
447	150	82	182	
448	146	80	187	
449	143	79	188	
450	145	80	186	
451	148	79	182	
452	147	79	180	
453	144	79	182	
454	139	79	189	
455	136	77	189	
456	135	76	186	
457	135	76	184	
458	133	75	185	
459	132	74	183	
460	131	75	181	
461	131	76	181	
462	129	73	182	
463	129	72	184	
464	129	72	184	
465	131	75	183	
466	133	78	180	
467	133	78	180	
468	131	75	184	
469	130	74	185	
470	132	75	183	
471	135	76	181	
472	138	77	182	
473	136	75	181	
474	136	75	179	
475	137	76	179	
476	137	76	179	
477	139	78	179	
478	140	78	178	
479	138	75	180	
480	137	75	185	
481	137	78	186	
482	139	80	182	
483	140	79	181	
484	139	79	184	
485	137	77	184	
486	135	75	180	
487	136	76	179	
488	133	74	181	
489	130	72	179	
490	128	74	179	
491	128	73	175	
492	123	69	172	
493	122	71	172	
494	119	71	172	
495	118	69	172	
496	117	71	174	
497	117	73	172	
498	117	73	169	
499	116	71	165	
500	117	69	166	
501	120	69	165	
502	124	72	164	
503	123	72	167	
504	126	72	172	
505	129	72	176	
506	134	71	177	
507	136	72	177	
508	139	72	177	
509	140	74	173	
510	140	73	168	
511	139	75	167	
512	139	77	168	
513	139	76	169	
514	140	77	171	
515	141	76	171	
516	139	73	167	
517	139	73	165	
518	136	73	164	
519	135	73	162	
520	132	74	163	
521	131	74	164	
522	130	73	164	
523	130	70	161	
524	128	69	160	
525	126	68	158	
526	123	67	159	
527	124	67	155	
528	120	67	150	
529	118	67	146	
530	112	67	148	
531	110	66	145	
532	105	64	143	
533	103	63	142	
534	104	62	140	
535	105	60	139	
536	108	61	140	
537	109	62	138	
538	112	62	132	
539	113	59	127	
540	112	59	130	
541	112	58	126	
542	105	55	122	
543	101	57	118	
544	91	58	117	
545	82	53	113	
546	73	49	114	
547	70	46	109	
548	64	44	106	
549	62	46	103	
550	58	45	102	
551	55	41	97	
552	53	40	96	
553	52	40	92	
554	49	36	89	
555	48	34	86	
556	46	32	83	
557	47	33	84	
558	46	33	87	
559	46	34	81	
560	45	34	73	
561	41	33	70	
562	43	34	77	
563	46	35	80	
564	47	34	78	
565	47	33	73	
566	49	34	66	
567	51	36	67	
568	52	36	75	
569	50	35	79	
570	51	34	74	
571	53	35	77	
572	53	34	80	
573	52	34	83	
574	53	36	85	
575	53	37	83	
576	53	38	79	
577	54	41	80	
578	52	38	80	
579	53	37	81	
580	52	36	78	
581	48	32	75	
582	45	30	79	
583	45	32	77	
584	47	35	74	
585	47	33	72	
586	46	30	72	
587	49	33	75	
588	49	35	75	
589	47	32	75	
590	45	30	76	
591	45	28	76	
592	45	29	78	
593	45	31	77	
594	45	33	76	
595	45	32	74	
596	42	27	69	
597	43	28	70	
598	46	32	73	
599	45	32	73	
600	44	31	72	
601	44	31	70	
602	44	32	67	
603	45	33	69	
604	45	32	70	
605	43	31	76	
606	43	31	81	
607	44	31	80	
608	44	31	75	
609	42	31	75	
610	42	32	78	
611	44	31	79	
612	44	30	75	
613	45	33	80	
614	47	36	88	
615	45	34	92	
616	47	34	92	
617	48	34	92	
618	47	33	90	
619	51	37	89	
620	51	39	85	
621	54	41	90	
622	55	42	95	
623	53	40	102	
624	57	43	106	
625	59	46	115	
626	64	51	122	
627	68	55	128	
628	77	59	125	
629	82	60	132	
630	95	65	142	
631	102	68	150	
632	110	70	152	
633	112	74	158	
634	114	76	160	
635	114	76	166	
636	113	73	166	
637	113	75	170	
638	119	80	174	
639	120	79	178	
640	125	78	179	
641	129	80	183	
642	129	81	185	
643	129	81	183	
644	125	81	181	
645	121	81	177	
646	118	79	174	
647	121	80	173	
648	116	79	175	
649	110	75	172	
650	97	70	170	
651	90	68	166	
652	84	64	162	
653	84	60	157	
654	84	60	157	
655	82	61	156	
656	79	60	155	
657	79	59	153	
658	78	58	150	
659	77	57	151	
660	79	59	153	
661	80	59	155	
662	85	62	156	
663	88	63	160	
664	101	66	163	
665	112	72	168	
666	123	81	170	
667	124	84	173	
668	123	84	171	
669	119	82	174	
670	122	82	177	
671	128	88	183	
672	137	87	184	
673	140	88	184	
674	145	89	184	
675	145	92	186	
676	143	91	187	
677	140	88	187	
678	135	85	187	
679	131	83	181	
680	128	81	175	
681	129	81	173	
682	122	80	178	
683	116	78	178	
684	103	74	177	
685	94	69	172	
686	85	64	169	
687	83	63	163	
688	83	64	161	
689	83	63	158	
690	87	65	160	
691	90	67	163	
692	102	68	162	
693	114	69	162	
694	122	72	162	
695	120	76	161	
696	111	74	162	
697	102	68	155	
698	90	65	151	
699	87	63	147	
700	81	62	150	
701	78	60	152	
702	77	60	154	
703	76	58	156	
704	74	56	156	
705	73	58	152	
706	75	62	149	
707	73	62	148	
708	81	64	148	
709	92	68	155	
710	105	71	157	
711	109	70	162	
712	117	75	164	
713	120	79	166	
714	123	78	164	
715	125	80	166	
716	123	80	170	
717	119	79	167	
718	109	73	161	
719	104	71	158	
720	95	70	163	
721	92	68	163	
722	88	67	163	
723	86	64	162	
724	83	61	158	
725	83	61	159	
726	84	62	160	
727	83	61	163	
728	83	61	167	
729	80	61	164	
730	80	61	158	
731	83	64	156	
732	87	67	161	
733	89	68	168	
734	99	70	168	
735	108	75	174	
736	120	78	175	
737	126	85	182	
738	133	87	186	
739	134	86	188	
740	141	90	185	
741	145	91	183	
742	144	91	184	
743	140	88	184	
744	131	84	185	
745	124	82	182	
746	115	79	180	
747	111	76	177	
748	108	75	177	
749	110	74	178	
750	107	75	180	
751	105	75	177	
752	96	70	172	
753	87	65	167	
754	82	63	168	
755	83	65	167	
756	88	68	167	
757	91	69	171	
758	104	71	173	
759	115	74	180	
760	130	78	182	
761	135	84	185	
762	139	85	187	
763	137	86	185	
764	135	86	180	
765	133	83	180	
766	131	84	185	
767	132	84	187	
768	128	86	186	
769	124	85	183	
770	120	83	180	
771	121	81	178	
772	125	81	180	
773	125	82	180	
774	131	83	180	
775	135	85	180	
776	135	84	180	
777	133	85	176	
778	123	82	171	
779	113	76	166	
780	97	71	168	
781	93	67	167	
782	85	66	167	
783	80	63	162	
784	77	61	159	
785	79	62	153	
786	79	59	149	
787	81	60	150	
