Pos	Red	Green	Blue	
542	56	45	99	
543	58	45	99	
544	60	44	93	
545	59	42	93	
546	57	40	97	
547	57	43	104	
548	57	43	104	
549	58	44	105	
550	61	47	107	
551	59	46	109	
552	59	47	111	
553	60	49	116	
554	63	50	120	
555	64	49	124	
556	67	49	124	
557	67	49	128	
558	70	51	128	
559	75	55	133	
560	76	54	133	
561	74	55	137	
562	76	58	143	
563	75	56	144	
564	75	56	144	
565	75	57	146	
566	74	57	148	
567	75	59	151	
568	74	57	152	
569	74	57	152	
570	77	60	152	
571	77	59	150	
572	78	58	149	
573	79	62	151	
574	80	62	151	
575	82	62	151	
576	84	63	152	
577	84	63	151	
578	85	64	148	
579	83	64	150	
580	84	64	151	
581	85	65	154	
582	86	65	158	
583	85	65	163	
584	88	65	164	
585	90	66	168	
586	95	67	168	
587	98	70	170	
588	103	74	170	
589	104	76	172	
590	111	79	172	
591	116	83	176	
592	125	87	178	
593	128	91	188	
594	137	95	193	
595	143	98	200	
596	148	100	200	
597	146	100	202	
598	149	100	201	
599	152	100	201	
600	153	98	201	
601	155	99	199	
602	157	102	197	
603	157	102	197	
604	156	102	199	
605	153	103	202	
606	142	101	205	
607	134	96	201	
608	121	88	196	
609	119	83	186	
610	110	79	183	
611	103	72	172	
612	91	68	166	
613	86	65	157	
614	77	62	156	
615	74	57	147	
616	70	56	141	
617	69	56	131	
618	66	53	127	
619	65	50	121	
620	64	49	121	
621	62	47	115	
622	56	41	108	
623	56	41	101	
624	57	42	99	
625	54	40	94	
626	56	42	96	
627	57	46	94	
628	56	46	92	
629	52	42	90	
630	52	43	92	
631	52	42	93	
632	51	38	91	
633	53	40	93	
634	54	43	93	
635	54	44	95	
636	55	42	95	
637	58	42	95	
638	62	44	95	
639	65	47	98	
640	62	45	98	
641	59	45	106	
642	57	45	112	
643	58	46	115	
644	60	49	114	
645	60	49	114	
646	60	47	119	
647	59	46	123	
648	62	48	123	
649	63	47	126	
650	68	52	128	
651	69	55	134	
652	68	54	134	
653	71	57	142	
654	73	57	151	
655	75	58	155	
656	79	60	151	
657	80	61	155	
658	81	61	161	
659	83	62	166	
660	86	64	162	
661	87	66	166	
662	89	66	172	
663	91	68	177	
664	95	70	171	
665	98	71	173	
666	107	75	174	
667	111	78	183	
668	120	82	191	
669	122	87	201	
670	126	88	203	
671	128	90	204	
672	128	91	201	
673	128	89	196	
674	123	86	194	
675	117	80	193	
676	107	76	196	
677	105	76	197	
678	101	76	196	
679	99	75	194	
680	99	76	194	
681	102	78	194	
682	103	78	192	
683	103	78	194	
684	108	80	196	
685	113	83	198	
686	123	86	195	
687	130	90	194	
688	131	89	191	
689	127	87	191	
690	122	86	195	
691	119	84	193	
692	111	80	190	
693	105	75	181	
694	96	72	178	
695	92	69	174	
696	86	67	175	
697	85	67	173	
698	84	67	172	
699	82	67	168	
700	80	65	166	
701	78	63	167	
702	76	62	170	
703	76	61	171	
704	78	61	169	
705	80	61	166	
706	86	64	167	
707	90	69	168	
708	92	71	168	
709	92	72	172	
710	90	71	176	
711	87	68	178	
712	84	66	178	
713	86	68	179	
714	87	70	180	
715	88	70	180	
716	93	72	176	
717	97	72	178	
718	110	78	181	
719	117	82	188	
720	123	83	189	
721	123	86	195	
722	120	85	200	
723	116	85	200	
724	110	81	194	
725	108	78	193	
726	106	77	198	
727	107	77	200	
728	110	79	198	
729	113	80	194	
730	111	83	190	
731	106	81	184	
732	95	74	180	
733	92	72	177	
734	88	69	179	
735	85	68	178	
736	84	67	179	
737	86	70	180	
738	86	69	180	
739	84	66	179	
740	86	68	177	
741	84	67	178	
742	89	70	179	
743	94	73	184	
744	101	74	186	
745	107	78	189	
746	113	82	190	
747	115	82	187	
748	114	81	182	
749	111	81	177	
750	103	79	174	
751	93	73	176	
752	86	69	183	
753	89	70	186	
754	95	74	181	
755	100	75	184	
756	107	78	187	
757	112	84	192	
758	120	86	190	
759	121	86	190	
760	132	88	190	
761	139	92	193	
762	139	90	194	
763	135	88	192	
764	125	87	190	
765	117	83	181	
766	101	77	179	
767	95	73	176	
768	88	70	178	
769	89	68	178	
770	88	68	178	
771	85	66	177	
772	83	65	178	
773	83	65	175	
774	82	65	173	
775	82	67	169	
776	81	66	168	
777	81	66	171	
778	84	68	175	
779	88	69	179	
780	90	69	179	
781	91	68	177	
782	87	66	174	
783	82	64	173	
784	82	67	175	
785	86	69	178	
786	88	68	179	
787	85	67	182	
788	91	67	181	
789	99	69	180	
790	106	73	179	
791	108	78	181	
792	102	76	185	
793	97	73	183	
794	92	72	179	
795	92	72	175	
796	89	71	175	
797	86	68	174	
798	82	66	175	
799	80	65	173	
