Pos	Red	Green	Blue	
0	74	51	117	
1	75	50	120	
2	77	48	116	
3	78	49	121	
4	86	53	127	
5	93	55	133	
6	103	58	133	
7	107	59	136	
8	115	60	135	
9	118	63	138	
10	124	68	143	
11	126	69	149	
12	128	68	148	
13	129	71	156	
14	129	71	160	
15	129	71	164	
16	131	73	163	
17	130	74	166	
18	131	76	169	
19	131	75	172	
20	129	73	174	
21	126	72	174	
22	123	71	173	
23	120	70	171	
24	118	70	170	
25	119	70	168	
26	119	70	168	
27	121	70	166	
28	123	69	163	
29	123	69	162	
30	126	73	166	
31	127	72	163	
32	128	69	156	
33	131	73	155	
34	133	73	156	
35	134	72	157	
36	135	73	158	
37	135	74	163	
38	134	74	168	
39	131	71	170	
40	133	71	170	
41	134	71	169	
42	132	70	168	
43	130	72	167	
44	128	72	164	
45	129	71	161	
46	129	71	160	
47	128	71	161	
48	125	70	164	
49	122	66	163	
50	118	64	161	
51	120	68	160	
52	118	68	159	
53	118	67	158	
54	116	66	158	
55	113	64	157	
56	111	63	155	
57	110	62	153	
58	107	63	154	
59	103	62	151	
60	98	62	150	
61	97	62	147	
62	93	61	146	
63	91	58	142	
64	91	57	139	
65	91	57	135	
66	89	55	131	
67	91	55	131	
68	89	56	136	
69	86	55	135	
70	86	57	132	
71	88	56	126	
72	89	54	126	
73	90	52	123	
74	89	53	123	
75	87	56	127	
76	85	57	131	
77	84	54	133	
78	85	51	132	
79	87	50	127	
80	88	51	122	
81	87	51	117	
82	85	51	117	
83	85	52	117	
84	86	53	118	
85	86	51	116	
86	84	49	114	
87	82	51	114	
88	80	50	114	
89	77	47	113	
90	76	46	114	
91	75	48	114	
92	75	49	109	
93	75	49	106	
94	73	49	108	
95	73	47	109	
96	72	43	107	
97	73	43	109	
98	75	45	113	
99	74	45	111	
100	71	43	107	
101	70	42	101	
102	71	46	99	
103	72	48	100	
104	70	45	100	
105	67	44	103	
106	66	45	104	
107	66	47	105	
108	65	47	108	
109	62	42	106	
110	60	42	106	
111	61	46	105	
112	61	46	102	
113	62	44	98	
114	65	43	98	
115	65	42	98	
116	65	43	100	
117	63	42	102	
118	64	41	103	
119	68	44	104	
120	68	45	102	
121	66	46	103	
122	68	47	106	
123	68	45	110	
124	68	44	114	
125	69	46	118	
126	65	45	118	
127	65	46	118	
128	65	48	115	
