SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Feb 02 18:42:29 EET 2017
User: optolab
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB4C02475
Integration Time (usec): 151411 (USB4C02475)
Spectra Averaged: 1 (USB4C02475)
Boxcar Smoothing: 0 (USB4C02475)
Correct for Electrical Dark: No (USB4C02475)
Strobe/Lamp Enabled: No (USB4C02475)
Correct for Detector Non-linearity: No (USB4C02475)
Correct for Stray Light: No (USB4C02475)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
344,91	137,037
345,13	137,037
345,35	137,037
345,57	-160,000
345,79	-69,231
346,00	-48,000
346,22	-24,324
346,44	-23,077
346,66	400,000
346,87	180,000
347,09	-500,000
347,31	-2600,000
347,53	87,179
347,74	137,500
347,96	-11,111
348,18	87,805
348,40	-6,667
348,61	-1,961
348,83	19,444
349,05	12,727
349,27	77,941
349,48	119,608
349,70	-1,818
349,92	-43,902
350,14	750,000
350,35	-23,077
350,57	52,941
350,79	85,106
351,01	51,613
351,22	700,000
351,44	60,000
351,66	-4,878
351,87	0,000
352,09	113,462
352,31	-26,087
352,53	54,839
352,74	-15,625
352,96	8,163
353,18	104,545
353,40	60,714
353,61	58,333
353,83	140,000
354,05	44,828
354,26	-38,636
354,48	50,000
354,70	3,750
354,92	33,333
355,13	75,510
355,35	-1550,000
355,57	29,870
355,78	90,000
356,00	20,930
356,22	25,373
356,44	0,000
356,65	-7,692
356,87	24,691
357,09	-44,928
357,30	78,378
357,52	-114,286
357,74	52,308
357,95	16,667
358,17	-63,889
358,39	700,000
358,60	44,211
358,82	-5,556
359,04	-77,778
359,26	24,444
359,47	-18,966
359,69	425,000
359,91	-15,625
360,12	-65,079
360,34	142,105
360,56	48,421
360,77	81,481
360,99	-25,000
361,21	33,333
361,42	2,500
361,64	16,667
361,86	73,626
362,07	48,515
362,29	-192,857
362,51	77,778
362,72	-5,000
362,94	-52,500
363,16	14,493
363,37	93,750
363,59	7,692
363,81	-3,390
364,02	-66,667
364,24	44,615
364,46	-60,000
364,67	55,556
364,89	17,568
365,11	200,000
365,32	3,509
365,54	-200,000
365,76	-11,250
365,97	48,571
366,19	-19,298
366,41	101,538
366,62	51,429
366,84	93,333
367,05	69,444
367,27	50,000
367,49	-1,515
367,70	25,000
367,92	60,759
368,14	43,011
368,35	29,630
368,57	18,889
368,79	8,108
369,00	46,429
369,22	53,125
369,43	27,551
369,65	-21,429
369,87	40,741
370,08	37,681
370,30	17,647
370,51	25,954
370,73	-1,587
370,95	-1,031
371,16	-7,576
371,38	13,699
371,60	3,488
371,81	50,526
372,03	18,182
372,24	86,842
372,46	-3,333
372,68	30,380
372,89	23,684
373,11	-72,222
373,32	58,730
373,54	-32,813
373,76	40,336
373,97	-9,756
374,19	97,778
374,40	51,304
374,62	21,591
374,84	-8,738
375,05	37,895
375,27	0,000
375,48	7,792
375,70	12,838
375,92	29,348
376,13	32,381
376,35	-4,878
376,56	17,949
376,78	30,000
376,99	1,299
377,21	39,683
377,43	-9,375
377,64	27,119
377,86	39,785
378,07	31,053
378,29	7,273
378,51	4,687
378,72	-7,407
378,94	24,476
379,15	26,761
379,37	36,496
379,58	24,786
379,80	27,624
380,01	2,000
380,23	6,716
380,45	-34,000
380,66	26,389
380,88	6,471
381,09	-63,636
381,31	11,176
381,52	4,054
381,74	23,270
381,95	-14,474
382,17	10,112
382,39	16,265
382,60	14,388
382,82	34,752
383,03	-14,167
383,25	7,801
383,46	-11,304
383,68	10,759
383,89	35,165
384,11	-7,143
384,32	16,429
384,54	-14,286
384,76	5,780
384,97	6,250
385,19	23,200
385,40	18,452
385,62	21,809
385,83	26,452
386,05	-6,294
386,26	28,571
386,48	-5,195
386,69	26,400
386,91	3,784
387,12	4,255
387,34	10,497
387,55	-13,725
387,77	11,230
387,98	20,833
388,20	4,762
388,41	20,080
388,63	29,524
388,84	6,711
389,06	10,383
389,27	35,484
389,49	8,252
389,70	10,106
389,92	17,734
390,13	-0,676
390,35	13,839
390,56	16,803
390,78	0,837
390,99	-5,699
391,21	28,431
391,42	10,121
391,64	15,094
391,85	7,179
392,07	4,945
392,28	25,794
392,50	12,308
392,71	5,528
392,93	-16,598
393,14	-19,126
393,36	12,613
393,57	19,742
393,79	-4,110
394,00	-22,941
394,22	-7,538
394,43	1,762
394,65	29,461
394,86	3,802
395,08	-24,277
395,29	-7,111
395,50	4,825
395,72	-1,277
395,93	15,702
396,15	26,182
396,36	11,881
396,58	1,345
396,79	23,973
397,01	8,861
397,22	10,487
397,44	3,797
397,65	3,887
397,87	17,375
398,08	14,887
398,29	14,815
398,51	7,965
398,72	8,824
398,94	-0,345
399,15	21,875
399,37	5,137
399,58	21,176
399,80	31,609
400,01	15,805
400,22	6,689
400,44	-8,787
400,65	5,667
400,87	14,379
401,08	12,121
401,30	-5,119
401,51	21,629
401,72	12,132
401,94	11,189
402,15	13,235
402,37	16,209
402,58	-5,686
402,80	16,076
403,01	6,053
403,22	6,534
403,44	14,966
403,65	-4,895
403,87	5,846
404,08	6,908
404,30	0,000
404,51	12,394
404,72	6,728
404,94	9,284
405,15	3,741
405,37	11,080
405,58	13,235
405,79	26,596
406,01	4,735
406,22	8,629
406,44	5,249
406,65	9,927
406,86	10,000
407,08	4,457
407,29	5,866
407,51	11,316
407,72	4,775
407,93	13,984
408,15	11,695
408,36	13,902
408,58	5,069
408,79	14,545
409,00	7,281
409,22	9,583
409,43	6,250
409,64	15,743
409,86	12,065
410,07	8,952
410,29	3,111
410,50	6,531
410,71	6,648
410,93	7,727
411,14	7,375
411,35	13,115
411,57	-3,881
411,78	8,869
412,00	8,855
412,21	3,650
412,42	1,628
412,64	4,497
412,85	-0,225
413,06	3,597
413,28	8,768
413,49	0,637
413,70	13,793
413,92	9,636
414,13	2,444
414,34	2,020
414,56	11,538
414,77	6,576
414,98	23,364
415,20	1,556
415,41	14,286
415,63	-0,193
415,84	5,596
416,05	8,911
416,27	14,599
416,48	3,867
416,69	6,981
416,91	-1,188
417,12	3,048
417,33	1,124
417,55	5,009
417,76	13,357
417,97	5,026
418,19	0,749
418,40	3,993
418,61	7,197
418,83	5,243
419,04	8,084
419,25	8,413
419,46	4,082
419,68	6,774
419,89	6,890
420,10	13,467
420,32	5,873
420,53	2,606
420,74	8,725
420,96	3,869
421,17	6,498
421,38	10,423
421,60	4,859
421,81	3,182
422,02	0,982
422,23	5,710
422,45	3,595
422,66	0,000
422,87	11,053
423,09	6,583
423,30	4,050
423,51	-2,484
423,73	6,466
423,94	3,306
424,15	7,444
424,36	2,545
424,58	4,079
424,79	8,598
425,00	-1,231
425,22	0,886
425,43	2,949
425,64	0,725
425,85	13,289
426,07	1,090
426,28	2,902
426,49	11,358
426,71	5,867
426,92	2,680
427,13	0,253
427,34	7,640
427,56	9,353
427,77	7,105
427,98	3,659
428,19	5,035
428,41	6,900
428,62	4,042
428,83	8,023
429,04	5,440
429,26	4,883
429,47	8,207
429,68	1,910
429,89	0,904
430,11	8,782
430,32	4,757
430,53	3,356
430,74	1,638
430,96	6,516
431,17	5,472
431,38	6,865
431,59	5,764
431,81	3,470
432,02	6,522
432,23	5,521
432,44	2,484
432,66	4,719
432,87	4,181
433,08	6,635
433,29	3,820
433,51	3,500
433,72	3,883
433,93	2,817
434,14	6,621
434,35	2,885
434,57	3,642
434,78	2,261
434,99	6,214
435,20	5,741
435,42	2,630
435,63	5,052
435,84	4,822
436,05	2,613
436,26	4,984
436,48	5,463
436,69	3,340
436,90	4,503
437,11	2,854
437,32	2,714
437,54	1,012
437,75	5,162
437,96	1,910
438,17	2,974
438,38	2,049
438,60	0,440
438,81	3,304
439,02	5,662
439,23	4,574
439,44	2,383
439,66	4,209
439,87	0,648
440,08	3,141
440,29	4,434
440,50	2,787
440,72	2,192
440,93	1,946
441,14	1,505
441,35	2,125
441,56	3,331
441,77	2,474
441,99	4,186
442,20	3,296
442,41	4,265
442,62	2,575
442,83	3,646
443,04	1,969
443,26	2,499
443,47	1,246
443,68	2,579
443,89	3,401
444,10	1,828
444,31	3,276
444,53	2,934
444,74	2,361
444,95	0,856
445,16	1,576
445,37	1,931
445,58	2,406
445,80	3,317
446,01	3,294
446,22	1,708
446,43	0,321
446,64	1,855
446,85	2,120
447,06	2,130
447,28	1,677
447,49	2,002
447,70	1,380
447,91	1,808
448,12	2,074
448,33	2,833
448,54	1,476
448,76	1,603
448,97	1,784
449,18	2,529
449,39	1,757
449,60	1,396
449,81	2,301
450,02	2,121
450,23	2,051
450,45	0,735
450,66	0,802
450,87	1,569
451,08	1,795
451,29	0,935
451,50	0,691
451,71	1,270
451,92	1,108
452,13	1,065
452,35	1,812
452,56	1,417
452,77	0,994
452,98	1,975
453,19	0,964
453,40	1,239
453,61	1,469
453,82	1,217
454,03	1,354
454,25	1,360
454,46	0,813
454,67	1,194
454,88	0,775
455,09	0,683
455,30	1,357
455,51	0,754
455,72	0,629
455,93	1,158
456,14	1,209
456,35	0,730
456,56	1,127
456,78	1,505
456,99	1,121
457,20	0,659
457,41	0,791
457,62	1,022
457,83	1,006
458,04	0,771
458,25	0,998
458,46	0,450
458,67	0,807
458,88	0,408
459,09	0,562
459,30	0,878
459,51	0,788
459,73	0,635
459,94	0,636
460,15	0,731
460,36	0,905
460,57	0,520
460,78	0,849
460,99	0,803
461,20	0,738
461,41	0,632
461,62	0,598
461,83	0,855
462,04	0,662
462,25	0,871
462,46	0,655
462,67	0,669
462,88	0,762
463,09	0,638
463,30	0,938
463,51	0,768
463,72	0,811
463,93	0,783
464,15	0,536
464,36	0,950
464,57	0,656
464,78	0,560
464,99	0,689
465,20	0,567
465,41	0,651
465,62	0,707
465,83	0,619
466,04	0,474
466,25	0,661
466,46	0,788
466,67	0,650
466,88	0,703
467,09	0,522
467,30	0,521
467,51	0,354
467,72	0,630
467,93	0,816
468,14	0,615
468,35	0,697
468,56	0,380
468,77	0,707
468,98	0,653
469,19	0,568
469,40	0,574
469,61	0,668
469,82	0,726
470,03	0,584
470,24	0,613
470,45	0,806
470,66	0,585
470,87	0,766
471,08	0,736
471,29	0,654
471,50	0,763
471,71	0,746
471,92	0,698
472,13	0,708
472,34	0,747
472,55	0,757
472,76	0,549
472,97	0,731
473,18	0,755
473,39	0,907
473,60	0,970
473,81	0,844
474,01	0,681
474,22	0,660
474,43	1,026
474,64	0,936
474,85	1,062
475,06	0,745
475,27	0,880
475,48	1,030
475,69	0,850
475,90	0,928
476,11	0,816
476,32	1,014
476,53	1,048
476,74	1,173
476,95	1,072
477,16	1,174
477,37	1,054
477,58	1,181
477,79	1,095
478,00	0,914
478,21	1,292
478,41	1,029
478,62	0,839
478,83	1,285
479,04	1,196
479,25	1,263
479,46	1,112
479,67	1,308
479,88	1,067
480,09	1,124
480,30	1,491
480,51	1,499
480,72	1,401
480,93	1,209
481,14	1,354
481,34	1,114
481,55	1,218
481,76	1,071
481,97	1,504
482,18	1,307
482,39	1,263
482,60	1,254
482,81	1,236
483,02	1,084
483,23	1,431
483,44	1,365
483,65	1,340
483,85	1,469
484,06	1,489
484,27	1,271
484,48	1,209
484,69	1,331
484,90	1,606
485,11	1,128
485,32	1,338
485,53	1,596
485,73	1,588
485,94	1,393
486,15	1,227
486,36	1,324
486,57	1,506
486,78	1,566
486,99	1,359
487,20	1,679
487,41	1,468
487,61	1,291
487,82	1,417
488,03	1,350
488,24	1,356
488,45	1,426
488,66	1,436
488,87	1,468
489,08	1,217
489,28	1,588
489,49	1,229
489,70	1,618
489,91	1,452
490,12	1,717
490,33	1,413
490,54	1,313
490,74	1,644
490,95	1,609
491,16	1,611
491,37	1,578
491,58	1,806
491,79	1,630
492,00	1,483
492,20	1,659
492,41	1,448
492,62	1,525
492,83	1,558
493,04	1,848
493,25	1,855
493,45	1,643
493,66	1,825
493,87	1,427
494,08	1,683
494,29	1,570
494,50	1,608
494,70	1,643
494,91	1,587
495,12	1,641
495,33	1,587
495,54	1,794
495,75	1,810
495,95	1,755
496,16	1,626
496,37	1,932
496,58	1,748
496,79	1,812
496,99	1,717
497,20	1,861
497,41	1,803
497,62	1,619
497,83	1,532
498,04	1,708
498,24	1,898
498,45	1,815
498,66	2,044
498,87	1,624
499,08	1,923
499,28	1,774
499,49	1,705
499,70	1,755
499,91	2,021
500,12	1,649
500,32	1,690
500,53	1,811
500,74	2,016
500,95	1,802
501,15	2,082
501,36	2,038
501,57	1,533
501,78	1,934
501,99	1,900
502,19	1,754
502,40	1,779
502,61	1,976
502,82	2,171
503,02	2,037
503,23	1,948
503,44	1,755
503,65	2,133
503,86	2,023
504,06	1,710
504,27	1,905
504,48	1,819
504,69	2,000
504,89	1,798
505,10	2,165
505,31	1,758
505,52	1,984
505,72	2,186
505,93	2,278
506,14	2,095
506,35	2,020
506,55	1,932
506,76	2,103
506,97	2,090
507,18	2,144
507,38	1,991
507,59	2,034
507,80	2,412
508,01	2,081
508,21	2,240
508,42	2,083
508,63	2,094
508,84	1,958
509,04	2,109
509,25	2,226
509,46	2,377
509,67	2,172
509,87	2,042
510,08	2,084
510,29	2,328
510,49	1,943
510,70	2,128
