Pos	Red	Green	Blue	
0	134	110	59	
1	139	113	64	
2	141	114	63	
3	140	116	64	
4	139	117	64	
5	137	115	60	
6	133	114	59	
7	132	110	58	
8	129	106	57	
9	130	108	61	
10	134	112	63	
11	136	114	65	
12	140	115	65	
13	141	117	67	
14	144	119	70	
15	145	122	72	
16	145	122	73	
17	144	121	68	
18	139	116	62	
19	136	114	60	
20	134	113	63	
21	137	117	66	
22	141	121	65	
23	143	121	64	
24	141	121	67	
25	137	118	65	
26	134	116	62	
27	134	115	60	
28	134	114	61	
29	134	113	60	
30	131	110	57	
31	129	108	55	
32	127	108	55	
33	127	108	54	
34	131	112	56	
35	134	112	61	
36	138	111	63	
37	143	116	69	
38	149	121	73	
39	147	122	75	
40	145	119	75	
41	145	119	72	
42	144	118	64	
43	145	120	61	
44	149	122	62	
45	150	122	64	
46	149	120	65	
47	145	118	67	
48	138	115	67	
49	134	112	63	
50	130	111	55	
51	130	110	51	
52	132	112	58	
53	133	113	62	
54	137	114	64	
55	138	116	68	
56	142	118	67	
57	147	123	70	
58	150	124	71	
59	151	124	69	
60	152	124	68	
61	150	122	66	
62	147	119	67	
63	145	117	65	
64	146	117	64	
65	148	119	66	
66	150	123	68	
67	149	123	69	
68	147	121	69	
69	147	120	68	
70	143	115	65	
71	137	111	59	
72	133	107	57	
73	132	106	57	
74	133	107	60	
75	137	110	63	
76	143	117	66	
77	146	121	71	
78	148	123	73	
79	147	124	77	
80	150	124	76	
81	153	127	78	
82	155	129	79	
83	152	125	76	
84	149	122	77	
85	148	121	73	
86	147	119	68	
87	149	122	65	
88	150	125	65	
89	148	125	69	
90	146	124	74	
91	144	121	75	
92	144	120	74	
93	144	119	73	
94	139	117	72	
95	137	115	66	
96	133	114	62	
97	132	114	58	
98	138	115	60	
99	146	119	66	
100	154	122	68	
101	157	126	71	
102	158	128	71	
103	154	127	71	
104	149	127	74	
105	146	127	75	
106	149	129	74	
107	154	129	73	
108	160	132	76	
109	160	132	77	
110	160	130	76	
111	160	131	76	
112	158	129	75	
113	154	127	75	
114	151	125	76	
115	150	123	74	
116	150	122	68	
117	152	123	71	
118	150	123	75	
119	149	124	77	
120	149	126	77	
121	149	125	76	
122	150	126	78	
123	150	125	76	
124	151	128	78	
125	151	128	74	
126	148	125	69	
127	150	124	68	
128	148	122	68	
129	146	119	68	
130	146	120	68	
131	149	126	73	
132	154	129	75	
133	156	130	77	
134	159	132	78	
135	157	132	78	
136	156	129	76	
137	156	128	76	
138	160	129	83	
139	163	131	83	
140	164	130	78	
141	162	130	75	
142	158	131	75	
143	156	128	72	
144	152	126	72	
145	151	126	74	
146	152	129	78	
147	154	129	78	
148	157	129	75	
149	160	128	73	
150	160	125	71	
151	157	125	72	
152	158	127	75	
153	161	130	81	
154	165	131	83	
155	166	133	83	
156	168	133	82	
157	166	132	78	
158	166	131	74	
159	169	133	76	
160	169	133	80	
161	167	132	79	
162	167	135	81	
163	166	135	81	
164	164	132	81	
165	165	133	83	
166	163	130	80	
167	161	129	77	
168	160	132	78	
169	160	133	79	
170	159	133	81	
171	160	129	80	
172	159	129	81	
173	158	129	81	
174	157	128	79	
175	158	129	78	
176	162	131	77	
177	164	134	79	
178	168	135	82	
179	172	138	85	
180	172	138	87	
181	167	137	86	
182	160	134	84	
183	157	130	82	
184	153	127	83	
185	153	125	82	
186	157	129	82	
187	161	133	85	
188	164	133	86	
189	165	134	90	
190	162	133	91	
191	157	130	86	
192	155	131	82	
193	156	131	79	
194	158	131	78	
195	162	133	79	
196	167	135	81	
197	168	136	84	
198	168	137	86	
199	165	138	87	
200	165	138	86	
201	165	137	84	
202	165	134	83	
203	167	135	85	
204	168	136	87	
205	168	136	89	
206	165	135	89	
207	160	131	87	
208	159	132	90	
209	164	135	91	
210	167	134	83	
211	169	133	79	
212	166	133	80	
213	160	130	78	
214	154	128	79	
215	152	125	80	
216	155	124	80	
217	160	127	82	
218	165	131	82	
219	169	138	88	
220	173	141	91	
221	175	143	92	
222	180	147	93	
223	181	147	92	
224	178	143	91	
225	173	140	91	
226	169	137	93	
227	170	134	91	
228	166	131	85	
229	163	129	83	
230	162	132	84	
231	165	134	86	
232	164	135	88	
233	161	133	88	
234	159	130	83	
235	160	129	84	
236	159	129	85	
237	156	128	83	
238	156	130	82	
239	158	132	84	
240	159	132	86	
241	160	130	85	
242	160	128	81	
243	160	128	81	
244	158	129	82	
245	154	127	85	
246	156	129	90	
247	162	135	95	
248	168	134	93	
249	171	137	89	
250	176	142	87	
251	175	144	87	
252	171	142	90	
253	169	141	91	
254	167	140	91	
255	166	139	87	
256	167	137	82	
257	169	138	85	
258	169	136	90	
259	168	134	91	
260	168	135	92	
261	167	138	92	
262	168	140	92	
263	170	138	87	
264	170	137	85	
265	170	138	87	
266	167	135	86	
267	164	132	84	
268	163	133	84	
269	164	135	84	
270	163	133	85	
271	163	135	88	
272	163	135	89	
273	163	132	83	
274	159	129	76	
275	155	123	68	
276	137	108	61	
277	122	93	53	
278	92	77	47	
279	76	57	29	
280	48	42	21	
281	34	22	0	
282	22	19	0	
283	22	17	0	
284	19	13	0	
285	23	14	0	
286	24	14	0	
287	24	18	0	
288	26	20	3	
289	26	21	13	
290	27	19	18	
291	28	19	22	
292	25	18	19	
293	21	17	13	
294	21	20	8	
295	22	20	13	
296	24	20	25	
297	23	18	29	
298	25	18	25	
299	28	18	25	
300	25	17	24	
301	23	20	36	
302	26	24	42	
303	32	27	56	
304	39	35	65	
305	39	38	74	
306	43	44	80	
307	44	46	84	
308	45	48	85	
309	44	47	88	
310	41	42	89	
311	40	41	89	
312	39	40	89	
313	37	40	89	
314	35	39	89	
315	37	39	93	
316	39	38	96	
317	43	41	99	
318	47	44	100	
319	47	45	101	
320	46	45	103	
321	43	44	101	
322	39	41	100	
323	36	37	94	
324	32	33	94	
325	33	34	97	
326	38	40	99	
327	43	44	110	
328	49	50	118	
329	52	52	128	
330	51	50	131	
331	46	47	134	
332	45	47	136	
333	46	50	133	
334	46	49	127	
335	46	50	125	
336	50	51	128	
337	57	57	130	
338	62	62	127	
339	62	63	130	
340	64	63	135	
341	65	62	135	
342	62	59	132	
343	59	57	122	
344	48	51	113	
345	45	46	107	
346	40	45	105	
347	36	40	106	
348	38	40	107	
349	44	43	108	
350	47	47	110	
351	44	47	110	
352	39	44	106	
353	35	40	103	
354	36	38	103	
355	39	39	102	
356	44	39	100	
357	51	46	107	
358	57	51	114	
359	61	58	124	
360	67	63	126	
361	68	66	128	
362	71	67	129	
363	72	69	129	
364	70	69	130	
365	68	66	131	
366	61	62	132	
367	57	57	126	
368	49	53	121	
369	45	47	113	
370	43	47	115	
371	40	44	118	
372	38	43	121	
373	40	44	124	
374	40	44	122	
375	40	45	119	
376	41	45	119	
377	40	46	116	
378	48	50	116	
379	55	55	122	
380	66	62	131	
381	71	69	138	
382	76	71	134	
383	81	77	136	
384	85	80	136	
385	85	77	138	
386	84	76	140	
387	80	72	141	
388	74	69	140	
