Pos	Red	Green	Blue	
353	42	43	98	
354	41	42	100	
355	40	42	105	
356	47	46	112	
357	52	52	116	
358	60	57	115	
359	65	63	120	
360	68	66	124	
361	71	69	130	
362	73	70	133	
363	73	70	133	
364	71	70	131	
365	66	67	131	
366	58	62	132	
367	53	54	131	
368	46	49	132	
369	45	48	129	
370	48	52	127	
371	46	48	121	
372	44	45	115	
373	45	47	115	
374	42	45	117	
375	40	44	119	
376	42	45	122	
377	45	49	126	
378	54	54	127	
379	60	61	133	
380	71	66	133	
381	78	73	137	
382	83	77	140	
383	84	80	140	
384	85	81	134	
385	85	79	134	
386	82	77	143	
387	79	72	146	
388	73	69	147	
389	67	63	143	
390	57	60	140	
391	51	55	138	
392	43	50	138	
393	42	47	138	
394	44	49	140	
395	44	49	140	
396	41	44	137	
397	41	43	133	
398	40	42	126	
399	39	42	125	
400	46	47	129	
401	51	51	132	
402	57	53	129	
403	60	57	134	
404	69	65	139	
405	75	71	145	
406	76	70	141	
407	74	70	144	
408	73	71	150	
409	69	68	155	
410	64	64	158	
411	60	59	153	
412	57	60	144	
413	53	59	135	
414	48	57	130	
415	49	55	129	
416	48	51	134	
417	53	51	132	
418	55	50	126	
419	54	50	110	
420	57	55	99	
421	60	60	83	
422	68	64	76	
423	76	68	73	
424	91	76	75	
425	99	86	80	
426	110	96	83	
427	112	99	90	
428	114	101	97	
429	112	100	105	
430	103	94	109	
431	96	88	110	
432	84	80	110	
433	78	73	107	
434	67	64	104	
435	59	57	93	
436	53	50	83	
437	54	50	78	
438	57	51	83	
439	58	51	91	
440	61	55	97	
441	62	57	98	
442	68	63	97	
443	74	68	90	
444	84	76	84	
445	91	83	79	
446	98	85	77	
447	101	84	79	
448	104	87	83	
449	101	87	90	
450	95	85	91	
451	94	86	97	
452	91	85	99	
453	87	79	104	
454	78	71	112	
455	70	67	118	
456	60	60	117	
457	51	54	121	
458	45	50	127	
459	46	52	133	
460	45	50	136	
461	48	52	141	
462	50	51	143	
463	48	50	142	
464	50	52	140	
465	54	55	136	
466	53	55	132	
467	50	52	126	
468	53	54	121	
469	53	52	120	
470	55	55	126	
471	59	61	133	
472	58	59	131	
473	55	55	133	
474	55	57	136	
475	54	59	139	
476	52	57	137	
477	53	57	135	
478	57	59	133	
479	58	61	135	
480	61	61	139	
481	65	66	141	
482	67	64	137	
483	68	65	138	
484	69	66	145	
485	65	65	151	
486	61	64	157	
487	61	65	156	
488	59	64	149	
489	57	60	141	
490	57	60	142	
491	56	56	137	
492	52	53	133	
493	51	52	133	
494	49	53	137	
495	48	51	137	
496	49	51	133	
497	51	52	131	
498	49	51	131	
499	48	53	131	
500	46	51	128	
501	48	51	123	
502	53	52	121	
503	54	51	118	
504	56	50	117	
505	56	49	112	
506	53	47	104	
507	53	47	91	
508	44	41	77	
509	37	37	64	
510	33	35	64	
511	28	28	51	
512	26	24	44	
513	29	27	34	
514	30	28	27	
515	31	27	23	
516	32	24	23	
517	33	24	22	
518	33	24	20	
519	31	25	15	
520	30	25	13	
521	31	27	17	
522	30	24	22	
523	28	20	16	
524	30	22	11	
525	31	23	7	
526	30	21	8	
527	30	23	13	
528	33	26	17	
529	34	27	18	
530	36	28	20	
531	36	29	20	
532	35	28	18	
533	35	27	13	
534	37	29	13	
535	36	29	12	
536	38	27	13	
537	41	31	15	
538	44	34	16	
539	47	42	21	
540	52	45	20	
541	58	48	25	
542	66	51	29	
543	71	60	38	
544	82	69	43	
545	88	77	46	
546	99	83	47	
547	104	89	54	
548	113	92	59	
549	118	100	68	
550	128	107	70	
551	133	115	76	
552	145	124	81	
553	152	129	83	
554	164	135	82	
555	169	139	86	
556	176	144	90	
557	178	149	96	
558	179	150	96	
559	179	149	97	
560	180	151	100	
561	179	149	100	
562	177	147	97	
563	177	147	96	
564	177	147	96	
565	178	148	96	
566	174	146	96	
567	172	138	89	
568	157	130	83	
569	147	117	70	
570	120	104	62	
571	100	86	46	
572	67	62	38	
573	52	42	22	
574	40	33	17	
575	44	31	10	
576	40	26	2	
577	40	28	4	
578	35	26	7	
579	31	23	2	
580	29	22	0	
581	26	19	0	
582	36	23	0	
583	43	24	6	
584	62	27	11	
585	77	35	25	
586	98	40	32	
587	109	47	41	
588	122	51	43	
589	123	49	44	
590	123	49	46	
591	121	51	48	
592	122	55	48	
593	124	57	49	
594	128	57	49	
595	130	55	46	
596	130	53	42	
597	130	54	43	
598	129	53	48	
599	128	52	52	
600	128	53	53	
601	125	53	54	
602	127	53	54	
603	130	55	55	
604	136	55	53	
605	140	57	55	
606	139	56	55	
607	135	53	55	
608	130	52	53	
609	127	51	53	
610	127	51	53	
611	128	49	49	
612	130	49	48	
613	131	52	50	
614	131	51	54	
615	131	52	57	
616	135	56	60	
617	137	58	59	
618	140	61	55	
619	140	62	58	
620	137	62	62	
621	135	60	65	
622	133	59	63	
623	134	61	62	
624	134	63	61	
625	132	64	61	
626	132	63	60	
627	134	62	58	
628	137	64	61	
629	140	64	61	
630	136	57	56	
631	131	55	51	
632	128	55	49	
633	128	56	46	
634	129	56	49	
635	131	53	47	
636	132	54	48	
637	131	52	49	
638	130	51	46	
639	130	51	47	
640	130	52	52	
641	130	52	55	
642	131	54	54	
643	133	57	57	
644	135	57	54	
645	137	54	52	
646	137	53	52	
647	137	54	52	
648	138	55	53	
649	139	58	54	
650	141	58	55	
